unit	path	disposition
07	include/keepkey/firmware/eip712.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/eip712_stream.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/erc7730_abi_stream.h	Alpha already owns ABI program view and reorders pending fields
07	include/keepkey/firmware/erc7730_catalog.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/erc7730_format.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/erc7730_program.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/erc7730_workflow.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/ethereum.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/firmware/signed_metadata.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	include/keepkey/transport/messages.options	Alpha already has 24 CoinTable entries; preserve 8192-byte entropy API
07	lib/board/messages.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/eip712.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/eip712_stream.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_abi.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_abi_stream.c	Alpha already owns ABI program view; retained full capture implementation
07	lib/firmware/erc7730_catalog.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_condition.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_format.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_program.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/erc7730_workflow.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/ethereum.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/fsm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/fsm_msg_common.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/fsm_msg_eos.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/fsm_msg_ethereum.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/fsm_msg_ripple.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/recovery_cipher.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/ripple.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/signed_metadata.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/signing.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	lib/firmware/storage.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/emulator/docker-compose.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/emulator/firmware-unit.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/emulator/python-keepkey-tests.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/emulator/test_stack07_regressions.py	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/generate-test-report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
07	scripts/tests/test_usb_receive_callbacks.py	Replayed/reconciled; see adjacent alpha diff and behavior record
07	tools/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
07	tools/erc7730-validate/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
07	tools/erc7730-validate/main.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/app_confirm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/eip712.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/eip712_stream.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_abi.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_abi_stream.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_catalog.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_condition.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_format.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/erc7730_workflow.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/ethereum.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/fsm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/kkconfirm_driver.cpp	Alpha already uses shared safe board/confirmation test support
07	unittests/firmware/kkconfirm_driver.h	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/liquidity_key_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/messages_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/ripple.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/signed_metadata.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/storage.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	unittests/firmware/usb_rx.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
